variavel,lag_passos,lag_horas,correlacao,n,safra,line
env_temperature,64,10.666666666666666,-0.04269716616068058,16835,2025,3
env_temperature,65,10.833333333333334,-0.05094881046525272,16830,2025,3
env_temperature,66,11.0,-0.058019395709362875,16825,2025,3
env_temperature,67,11.166666666666666,-0.06441311410420161,16825,2025,3
env_temperature,68,11.333333333333334,-0.06934055708784972,16824,2025,3
env_temperature,69,11.5,-0.07369737653433939,16818,2025,3
env_temperature,70,11.666666666666666,-0.07701486089031262,16817,2025,3
env_temperature,71,11.833333333333334,-0.07936052269485602,16818,2025,3
env_temperature,72,12.0,-0.08041682066493469,16814,2025,3
env_temperature,73,12.166666666666666,-0.08067164619885857,16812,2025,3
env_temperature,74,12.333333333333334,-0.07967587368074493,16812,2025,3
env_temperature,75,12.5,-0.07794120879174632,16807,2025,3
env_temperature,76,12.666666666666666,-0.07481466488827881,16810,2025,3
env_temperature,77,12.833333333333334,-0.07120998111773646,16807,2025,3
env_temperature,78,13.0,-0.0662419751015292,16801,2025,3
env_temperature,79,13.166666666666666,-0.06018237899709757,16804,2025,3
env_temperature,80,13.333333333333334,-0.0533223040276861,16798,2025,3
env_temperature,81,13.5,-0.04536272662470642,16797,2025,3
env_temperature,82,13.666666666666666,-0.03649774640282927,16799,2025,3
env_temperature,83,13.833333333333334,-0.02685727335465428,16798,2025,3
env_temperature,84,14.0,-0.01665703987208463,16793,2025,3
env_temperature,85,14.166666666666666,-0.0054896678907329684,16790,2025,3
env_temperature,86,14.333333333333334,0.006371403690479386,16792,2025,3
env_temperature,87,14.5,0.01897491764686244,16786,2025,3
env_temperature,88,14.666666666666666,0.03211910043131564,16792,2025,3
env_temperature,89,14.833333333333334,0.046182132540470947,16788,2025,3
env_temperature,90,15.0,0.060674526217724734,16783,2025,3
env_temperature,91,15.166666666666666,0.07572853799159394,16779,2025,3
